//==========================================================================================
// Urn of Sorcery
//==========================================================================================
"DOTA_Tooltip_Ability_item_urn_of_sorcery"                                      "Urn of Sorcery"
"DOTA_Tooltip_Ability_item_recipe_urn_of_sorcery"                               "Urn of Sorcery Recipe"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_Description"                          "<h1>Active: Energy Release</h1> Apply a healing buff to nearby ally heroes and a pure damage over time debuff to nearby enemy heroes. The maximum number of units affected is based on the number of charges. Gains a charge (max %max_charges%) whenever a nearby visible enemy uses an Ability.<br>The healing effect is lost if the affected ally takes damage from an enemy hero or tower. <br><br>Maximum Heal: %soul_heal_amount%<br>Maximum Damage: %soul_damage_amount%<br>Effect Duration: %soul_heal_duration%<br>Radius: %soul_release_radius%\n<h1>Passive: Mekansm Aura</h1>Grants %aura_health_regen% health regeneration to allied units in a %aura_radius% radius."
"DOTA_Tooltip_Ability_item_urn_of_sorcery_Lore"                                 "An urn demon, who has an insatiable hunger for magic."
"DOTA_Tooltip_Ability_item_urn_of_sorcery_Note0"                                "Gains charges for spells cast by visible enemies in 1200 range."
"DOTA_Tooltip_Ability_item_urn_of_sorcery_Note1"                                "Certain abilities and item abilities will not add charges."
"DOTA_Tooltip_Ability_item_urn_of_sorcery_Note2"                                "Energy Release applies the buff/debuff to the closest units first."
"DOTA_Tooltip_Ability_item_urn_of_sorcery_Note3"                                "Multiple instances of Mekansm Aura do not stack."
"DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_all_stats"                      "+$all"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_mana_regen"                           "+$mana_regen"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_armor"                          "+$armor"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_soul_heal_amount"                     "RELEASE ALLY TOTAL HEAL:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_soul_damage_amount"                   "RELEASE ENEMY TOTAL DAMAGE:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_soul_heal_duration"                   "ENERGY RELEASE DURATION:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_soul_release_radius"                  "ENERGY RELEASE RADIUS:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_aura_health_regen"                    "AURA HEALTH REGEN:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_aura_radius"                          "AURA RADIUS:"

"DOTA_Tooltip_Ability_item_urn_of_sorcery_2"                                    "#{DOTA_Tooltip_Ability_item_urn_of_sorcery}"
"DOTA_Tooltip_Ability_item_recipe_urn_of_sorcery_2"                             "#{DOTA_Tooltip_Ability_item_recipe_urn_of_sorcery}"
